manufacturer;name;rname;cores;threads;base;boost;l1;l2;l3;l1asso;pagesize;loadbuffer;l1dtlb;microarchitecture
Intel;Intel(R) Core(TM) i7-2600K;;4;8;3.40;3.80;32;256;8;8;4096;;64;Sandy Bridge
AMD;AMD Ryzen 3 1200;;4;4;3.10;3.40;32;512;8;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i5-10300H;;4;8;2.50;4.50;32;256;8;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i3-8130U;;2;4;2.20;3.40;32;256;4;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i3-1005G1;;2;4;1.20;3.40;48;512;4;12;4096;;64;Ice Lake
Intel;Intel(R) Core(TM) i5-9400;;6;6;2.90;4.10;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-4800MQ;;4;8;2.70;3.70;32;256;6;8;4096;;64;Haswell
AMD;AMD Ryzen 9 3900X;;12;24;3.80;4.60;32;512;16;8;4096;;64;Zen 2
AMD;AMD Ryzen 3 3250U;;2;4;2.60;3.50;32;512;4;8;4096;;64;Zen
Intel;Intel(R) Pentium(R) CPU 6405U;;2;4;2.40;2.40;32;256;2;8;4096;;64;Comet Lake
Intel;Intel(R) Xeon(R) CPU E3-1231 v3;;4;8;3.40;3.80;32;256;8;8;4096;;64;Haswell
Intel;Intel(R) Core(TM)2 Duo CPU E7400;;2;2;2.80;2.80;32;3072;;8;4096;;64;Wolfdale
Intel;Intel(R) Core(TM)2 Duo CPU P8600;;2;2;2.40;2.40;32;3072;;8;4096;;64;Penryn
Intel;Intel(R) Core(TM)2 Duo CPU P7350;;2;2;2.00;2.00;32;3072;;8;4096;;64;Penryn
AMD;AMD Ryzen 7 PRO 3700U;;4;8;2.30;4.00;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i7-2700K;;4;8;3.50;3.90;32;256;8;8;4096;;64;Sandy Bridge
AMD;AMD A8-3870 APU;;4;4;3.00;3.00;64;1024;;2;4096;;64;K10
AMD;AMD A9-9425;;2;2;3.10;3.70;32;1024;;8;4096;;64;Excavator
AMD;AMD Athlon 64 X2 5000B;;2;2;2.60;2.60;64;512;;2;4096;;64;K8
AMD;AMD A6-4400M APU;;2;2;2.70;3.20;16;1024;;4;4096;;64;Piledriver
AMD;AMD A6-7310 APU;;4;4;2.00;2.40;32;2048;;8;4096;;64;Puma+
Intel;Intel(R) Core(TM) i5-8300H;;4;8;2.30;4.00;32;256;8;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(tm) i5-5200U;;2;4;2.20;2.70;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i3-6100;;2;4;3.70;3.70;32;256;3;8;4096;;64;Skylake
AMD;AMD Ryzen 7 4800H;;8;16;2.90;4.20;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-5287U;;2;4;2.90;3.30;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i7-3520M;;2;4;2.90;3.60;32;256;4;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-6200U;;2;4;2.30;2.80;32;256;3;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-4690K;;4;4;3.50;3.90;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-2600;;4;8;3.40;3.80;32;256;8;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-3770K;;4;8;3.50;3.90;32;256;8;8;4096;;64;Ivy Bridge
Intel;Intel(R) Pentium(R) CPU 4415Y;;2;4;1.60;1.60;32;256;2;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-4590;;4;4;3.30;3.70;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-4650U;;2;4;1.70;3.30;32;256;4;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-9100;;4;4;3.60;4.20;32;256;6;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i3-7100U;;2;4;2.40;2.40;32;256;3;8;4096;;64;Kaby Lake
Intel;Intel(R) Celeron(R) CPU N2815;;2;2;1.86;2.13;24;1024;;6;4096;;64;Silvermont
AMD;AMD FX(TM)-4300;;4;4;3.80;4.00;16;2048;4;4;4096;;64;Piledriver
Intel;Intel(R) Pentium(R) CPU B940;;2;2;2.00;2.00;32;256;2;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i3-10100;;4;8;3.60;4.30;32;256;6;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i5-7600K;;4;4;3.80;4.20;32;256;6;8;4096;;64;Kaby Lake
AMD;AMD Ryzen 5 3600X;;6;12;3.80;4.40;32;512;16;8;4096;;64;Zen 2
AMD;AMD Ryzen 3 3200U;;2;4;2.60;3.50;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-3210M;;2;4;2.50;3.10;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-5257U;;2;4;2.70;3.10;32;256;3;8;4096;;64;Broadwell
AMD;AMD Ryzen 9 5900HX;;8;16;3.30;4.60;32;512;16;8;4096;;64;Zen 3
Intel;Intel(R) Core(TM) i5-1035G1;;4;8;1.00;3.60;48;512;6;12;4096;;64;Ice Lake
Intel;Intel(R) Core(TM) i5-4250U;;2;4;1.30;2.60;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) 2 Duo CPU T5870;;2;2;2.00;2.00;32;2048;;8;4096;;64;Merom
Intel;Intel(R) Core(TM) i3-3220;;2;4;3.30;3.30;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-9300H;;4;8;2.40;4.10;32;256;8;8;4096;;64;Coffee Lake
AMD;AMD A10-9600P;;4;4;2.40;3.30;32;1024;;8;4096;;64;Excavator
Intel;Intel(R) Core(TM) i7-9850H;;6;12;2.60;4.60;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-7400;;4;4;3.00;3.50;32;256;6;8;4096;;64;Kaby Lake
AMD;AMD Ryzen 7 5800H;;8;16;3.20;4.40;32;512;16;8;4096;;64;Zen 3
Intel;Intel(R) Core(TM) i5-6600K;;4;4;3.50;3.90;32;256;6;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-6267U;;2;4;2.90;3.30;32;256;4;8;4096;;64;Skylake
Intel;Intel(R) Core(TM)2 Duo CPU E7500;;2;2;2.93;2.93;32;6042;;8;4096;;64;Wolfdale
Intel;Intel(R) Core(TM) i5-4308U;;2;4;2.80;3.30;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Pentium(R) CPU G3220;;2;2;3.00;3.00;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-8145U;;2;4;2.10;3.90;32;256;4;8;4096;;64;Whiskey Lake
AMD;AMD Ryzen 5 2600X;;6;12;3.60;4.20;32;512;8;8;4096;;64;Zen+
Intel;Intel(R) Xeon(R) CPU E5-2676 v3;;12;24;2.40;2.40;32;256;30;8;4096;;64;Haswell
AMD;AMD Athlon(TM) X4 860K;;4;4;3.70;4.00;16;2048;;4;4096;;64;Steamroller
Intel;AMD FX(TM)-8320E;;8;8;3.20;4.00;16;2048;8;4;4096;;64;Piledriver
Intel;Intel(R) Celeron(R) N4000;;2;2;1.10;2.60;24;4096;;6;4096;;64;Goldmont Plus
Intel;AMD Turion(TM) X2 Ultra Dual-Core ZM-87;;2;2;2.40;2.40;64;1024;;2;4096;;64;K8
Intel;Intel(R) Core(TM) i3-5020U;;2;4;2.20;2.20;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i5-9400F;;6;6;2.90;4.10;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-5250U;;2;4;1.60;2.70;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i7-5960X;;8;16;3.00;3.50;32;256;20;8;4096;;64;Haswell
AMD;AMD Ryzen 3 2200U;;2;4;2.50;3.40;32;512;4;8;4096;;64;Zen
AMD;AMD Ryzen 5 4600H;;6;12;3.00;4.00;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i9-9880H;;8;16;2.30;4.80;32;256;16;8;4096;;64;Coffee Lake
Intel;Intel(R) Pentium(R) Silver N5030 CPU;;4;4;1.10;3.10;24;4096;;6;4096;;64;Goldmont Plus
Intel;Intel(R) Core(TM) i5-10400F;;6;12;2.90;4.30;32;256;12;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i3-4000M;;2;4;2.40;2.40;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-2670QM;;4;8;2.20;3.10;32;256;6;8;4096;;64;Sandy Bridge
Intel;Intel(R) Core(TM) i7-10700KF;;8;16;3.80;5.10;32;256;16;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i7-8665U;;4;8;1.90;4.80;32;256;8;8;4096;;64;Whiskey Lake
Intel;Intel(R) Core(TM) i7-4510U;;2;4;2.00;3.10;32;256;4;8;4096;;64;Haswell
Intel;Intel(R) Pentium(R) CPU 5405U;;2;4;2.30;2.30;32;256;2;8;4096;;64;Whiskey Lake
Intel;Intel(R) Core(TM) i5-8500T;;6;6;2.10;3.50;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-7300HQ;;4;8;2.50;3.50;32;256;6;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-4670;;4;4;3.40;3.80;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Pentium(R) CPU G3240;;2;2;3.10;3.10;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-2415M;;2;4;2.30;2.90;32;256;3;8;4096;;64;Sandy Bridge
Intel;Intel(R) Pentium(R) CPU G3260T;;2;2;2.90;2.90;32;256;3;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i3-5010U;;2;4;2.10;2.10;32;256;3;8;4096;;64;Broadwell
Intel;Intel(R) Core(TM) i3-8100;;4;4;3.60;3.60;32;256;6;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i3-6100U;;2;4;2.30;2.30;32;256;3;8;4096;;64;Skylake
AMD;AMD FX(TM)-9370;;8;8;4.40;4.70;16;2048;8;4;4096;;64;Piledriver
AMD;AMD Ryzen 7 1700X;;8;16;3.40;3.80;32;512;8;8;4096;;64;Zen
AMD;AMD FX(TM)-8150;;8;8;3.60;4.20;16;2048;8;4;4096;;64;Bulldozer
AMD;AMD FX(TM)-8300;;8;8;3.30;4.20;16;2048;8;4;4096;;64;Piledriver
Intel;Intel(R) Core(TM) i5-4460S;;4;4;2.90;3.40;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Xeon(R) CPU E3-1245 v3;;4;8;3.40;3.80;32;256;8;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-4610M;;2;4;3.00;3.70;32;256;4;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-10500;;6;12;3.10;4.50;32;256;12;8;4096;;64;Comet Lake
